There are 51040 points in the circle, out of a total of 65536 points in the square.
The best possible approximation for pi is 3.11523

p: 600239       q: 600983       n = p*q: 360733434937   seed: 430521001

k: 0	s: 430521001	 aceCnt: 1	 succ: 0	  approx: nan	 aceCnt2: 1	 succ2: 0	  approx2: nan
k: 1380000000	s: 341613183058	 aceCnt: 689997406	 succ: 67170222	  approx: 3.11514	 aceCnt2: 689961474	 succ2: 67173332	  approx2: 3.11528
k: 1390000000	s: 341408980963	 aceCnt: 694995228	 succ: 67657315	  approx: 3.11516	 aceCnt2: 694961742	 succ2: 67660526	  approx2: 3.1153
k: 1400000000	s: 90677012781	 aceCnt: 699992591	 succ: 68144101	  approx: 3.11516	 aceCnt2: 699960901	 succ2: 68147443	  approx2: 3.11531
k: 1410000000	s: 307939912211	 aceCnt: 704991520	 succ: 68630723	  approx: 3.11515	 aceCnt2: 704961835	 succ2: 68633679	  approx2: 3.11529
k: 1420000000	s: 155497996148	 aceCnt: 709990848	 succ: 69117594	  approx: 3.11516	 aceCnt2: 709958233	 succ2: 69120658	  approx2: 3.1153
k: 1430000000	s: 60846676915	 aceCnt: 714990033	 succ: 69604577	  approx: 3.11517	 aceCnt2: 714956426	 succ2: 69607297	  approx2: 3.11529
k: 1440000000	s: 132582879458	 aceCnt: 719990671	 succ: 70091392	  approx: 3.11517	 aceCnt2: 719956490	 succ2: 70094113	  approx2: 3.11529
k: 1450000000	s: 120801667403	 aceCnt: 724993203	 succ: 70578321	  approx: 3.11518	 aceCnt2: 724958883	 succ2: 70581048	  approx2: 3.1153
k: 1460000000	s: 35221081022	 aceCnt: 729996169	 succ: 71064763	  approx: 3.11517	 aceCnt2: 729957022	 succ2: 71067563	  approx2: 3.11529
k: 1470000000	s: 237054816681	 aceCnt: 734994949	 succ: 71551311	  approx: 3.11516	 aceCnt2: 734955848	 succ2: 71554655	  approx2: 3.1153
k: 1480000000	s: 352683701905	 aceCnt: 739994301	 succ: 72038143	  approx: 3.11516	 aceCnt2: 739956809	 succ2: 72041231	  approx2: 3.1153
k: 1490000000	s: 262414786740	 aceCnt: 744993610	 succ: 72524730	  approx: 3.11516	 aceCnt2: 744954718	 succ2: 72528407	  approx2: 3.11531
k: 1500000000	s: 33810392333	 aceCnt: 749993409	 succ: 73011869	  approx: 3.11517	 aceCnt2: 749953920	 succ2: 73014684	  approx2: 3.11529
k: 1510000000	s: 298376034002	 aceCnt: 754992328	 succ: 73499101	  approx: 3.11519	 aceCnt2: 754952249	 succ2: 73501489	  approx2: 3.11529
k: 1520000000	s: 117705182625	 aceCnt: 759991637	 succ: 73985715	  approx: 3.11519	 aceCnt2: 759952802	 succ2: 73988100	  approx2: 3.11529
k: 1530000000	s: 312958130024	 aceCnt: 764993157	 succ: 74472560	  approx: 3.11519	 aceCnt2: 764953465	 succ2: 74474878	  approx2: 3.11529
k: 1540000000	s: 185573011634	 aceCnt: 769994376	 succ: 74959288	  approx: 3.11519	 aceCnt2: 769954972	 succ2: 74962075	  approx2: 3.11531
k: 1550000000	s: 347141257180	 aceCnt: 774995572	 succ: 75446033	  approx: 3.11519	 aceCnt2: 774953283	 succ2: 75448904	  approx2: 3.11531
k: 1560000000	s: 89027765381	 aceCnt: 779996203	 succ: 75932397	  approx: 3.11518	 aceCnt2: 779951337	 succ2: 75936289	  approx2: 3.11533
k: 1570000000	s: 333645773211	 aceCnt: 784996484	 succ: 76419151	  approx: 3.11518	 aceCnt2: 784952199	 succ2: 76422694	  approx2: 3.11532
k: 1580000000	s: 107448498227	 aceCnt: 789998127	 succ: 76906224	  approx: 3.11519	 aceCnt2: 789951829	 succ2: 76909562	  approx2: 3.11532
k: 1590000000	s: 194349201847	 aceCnt: 794999509	 succ: 77393269	  approx: 3.1152	 aceCnt2: 794952223	 succ2: 77396182	  approx2: 3.11532
k: 1600000000	s: 182398986606	 aceCnt: 799997482	 succ: 77879460	  approx: 3.11518	 aceCnt2: 799954368	 succ2: 77882933	  approx2: 3.11532
k: 1610000000	s: 199786006140	 aceCnt: 804993429	 succ: 78365674	  approx: 3.11516	 aceCnt2: 804957098	 succ2: 78369507	  approx2: 3.11531
k: 1620000000	s: 177922660529	 aceCnt: 809993060	 succ: 78852270	  approx: 3.11515	 aceCnt2: 809957348	 succ2: 78856117	  approx2: 3.1153
k: 1630000000	s: 185751248857	 aceCnt: 814994528	 succ: 79338932	  approx: 3.11515	 aceCnt2: 814957375	 succ2: 79342708	  approx2: 3.1153
k: 1640000000	s: 201859577144	 aceCnt: 819996899	 succ: 79826513	  approx: 3.11518	 aceCnt2: 819957062	 succ2: 79829554	  approx2: 3.1153
k: 1650000000	s: 287309444017	 aceCnt: 824997085	 succ: 80313980	  approx: 3.11521	 aceCnt2: 824954726	 succ2: 80315795	  approx2: 3.11528
